1650745805443, -nan, -nan, -nan
1650745805444, -nan, -nan, -nan
1650745805448, -nan, -nan, -nan
1650745805449, -nan, -nan, -nan
1650745805450, -nan, -nan, -nan
1650745805460, -nan, -nan, -nan
1650745805462, -nan, -nan, -nan
1650745805463, -nan, -nan, -nan
1650745805466, -nan, -nan, -nan
1650745805468, -nan, -nan, -nan
1650745805469, -nan, -nan, -nan
1650745805472, -nan, -nan, -nan
1650745805475, -nan, -nan, -nan
1650745805477, -nan, -nan, -nan
1650745805480, -nan, -nan, -nan
1650745805482, -nan, -nan, -nan
1650745805483, -nan, -nan, -nan
1650745805487, -nan, -nan, -nan
1650745805491, -nan, -nan, -nan
1650745805494, -nan, -nan, -nan
1650745805496, -nan, -nan, -nan
1650745805500, -nan, -nan, -nan
1650745805502, -nan, -nan, -nan
1650745805503, -nan, -nan, -nan
1650745805506, -nan, -nan, -nan
1650745805508, -nan, -nan, -nan
1650745805509, -nan, -nan, -nan
1650745805511, -nan, -nan, -nan
1650745805512, -nan, -nan, -nan
1650745805514, -nan, -nan, -nan
1650745805521, -nan, -nan, -nan
1650745805524, -nan, -nan, -nan
1650745805526, -nan, -nan, -nan
1650745805527, -nan, -nan, -nan
1650745805529, -nan, -nan, -nan
1650745805530, -nan, -nan, -nan
1650745805532, -nan, -nan, -nan
1650745805534, -nan, -nan, -nan
1650745805536, -nan, -nan, -nan
1650745805539, -nan, -nan, -nan
1650745805541, -nan, -nan, -nan
1650745805546, -nan, -nan, -nan
1650745805548, -nan, -nan, -nan
1650745805550, -nan, -nan, -nan
1650745805551, -nan, -nan, -nan
1650745805552, -nan, -nan, -nan
1650745805554, -nan, -nan, -nan
1650745805555, -nan, -nan, -nan
1650745805557, -nan, -nan, -nan
1650745805559, -nan, -nan, -nan
1650745805563, -nan, -nan, -nan
1650745805565, -nan, -nan, -nan
1650745805566, -nan, -nan, -nan
1650745805567, -nan, -nan, -nan
1650745805569, -nan, -nan, -nan
1650745805575, -nan, -nan, -nan
1650745805577, -nan, -nan, -nan
1650745805578, -nan, -nan, -nan
1650745805579, -nan, -nan, -nan
1650745805581, -nan, -nan, -nan
1650745805582, -nan, -nan, -nan
1650745805583, -nan, -nan, -nan
1650745805585, -nan, -nan, -nan
1650745805587, -nan, -nan, -nan
1650745805589, -nan, -nan, -nan
1650745805590, -nan, -nan, -nan
1650745805592, -nan, -nan, -nan
1650745805594, -nan, -nan, -nan
1650745805595, -nan, -nan, -nan
1650745805597, -nan, -nan, -nan
1650745805598, -nan, -nan, -nan
1650745805601, -nan, -nan, -nan
1650745805604, -nan, -nan, -nan
1650745805605, -nan, -nan, -nan
1650745805608, -nan, -nan, -nan
1650745805610, -nan, -nan, -nan
1650745805611, -nan, -nan, -nan
1650745805619, -nan, -nan, -nan
1650745805620, -nan, -nan, -nan
1650745805622, -nan, -nan, -nan
1650745805624, -nan, -nan, -nan
1650745805625, -nan, -nan, -nan
1650745805628, -nan, -nan, -nan
1650745805629, -nan, -nan, -nan
1650745805631, -nan, -nan, -nan
1650745805633, -nan, -nan, -nan
1650745805634, -nan, -nan, -nan
1650745805637, -nan, -nan, -nan
1650745805638, -nan, -nan, -nan
1650745805640, -nan, -nan, -nan
